year,province,cause,weather,deaths,seriousInjuries,minorInjuries,totalInjuries,latitude,longitude
2025,"สุราษฎร์ธานี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,5,5,9.100068,99.411947
2025,"เชียงใหม่","หลับใน","แจ่มใส",1,0,0,0,18.26476821,98.62977281
2025,"สุพรรณบุรี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,0,0,14.3751412,100.1794416
2025,"นราธิวาส","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,2,0,2,6.488065847,101.66683
2025,"อุดรธานี","คน/รถ/สัตว์ตัดหน้ากระชั้นชิด","แจ่มใส",0,0,2,2,17.42925943,102.8155839
2025,"ตรัง","หลับใน","แจ่มใส",0,0,2,2,7.855176944,99.62968826
2025,"สุพรรณบุรี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,0,0,14.37470367,100.1795899
2025,"พังงา","หลับใน","แจ่มใส",0,1,8,9,8.515520085,98.6388826
2025,"สุราษฎร์ธานี","หลับใน","แจ่มใส",0,0,0,0,9.647159346,99.12353879
2025,"หนองบัวลำภู","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,16.93792813,102.2620954
2025,"ชัยนาท","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,0,0,15.15746692,100.1436426
2025,"เพชรบูรณ์","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,16.77897349,101.2138667
2025,"สกลนคร","คน/รถ/สัตว์ตัดหน้ากระชั้นชิด","แจ่มใส",1,1,0,1,17.60550585,103.4276801
2025,"ชลบุรี","คน/รถ/สัตว์ตัดหน้ากระชั้นชิด","แจ่มใส",1,0,1,1,13.14940569,101.3298024
2025,"ปราจีนบุรี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,2,2,13.97591296,101.7425127
2025,"ราชบุรี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,13.79513559,99.95375544
2025,"หนองคาย","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,17.88629128,102.7616283
2025,"เชียงใหม่","หลับใน","แจ่มใส",0,0,2,2,18.85432432,98.7726903
2025,"สุพรรณบุรี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,0,0,14.34674123,100.1891966
2025,"ร้อยเอ็ด","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,15.92585322,103.6972247
2025,"น่าน","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,0,0,19.11303322,100.8099903
2025,"ราชบุรี","คน/รถ/สัตว์ตัดหน้ากระชั้นชิด","แจ่มใส",0,0,2,2,13.54581557,99.43564362
2025,"พัทลุง","คน/รถ/สัตว์ตัดหน้ากระชั้นชิด","แจ่มใส",0,2,0,2,7.70345189,99.99608666
2025,"สุโขทัย","คน/รถ/สัตว์ตัดหน้ากระชั้นชิด","แจ่มใส",1,0,0,0,17.26295238,99.83602792
2025,"เชียงใหม่","คน/รถ/สัตว์ตัดหน้ากระชั้นชิด","แจ่มใส",0,1,0,1,18.32294001,98.66497278
2025,"น่าน","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",1,0,0,0,19.28132067,100.8163539
2025,"นครศรีธรรมราช","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,2,2,8.201387053,100.0299046
2025,"ประจวบคีรีขันธ์","คน/รถ/สัตว์ตัดหน้ากระชั้นชิด","แจ่มใส",0,0,2,2,12.42663621,99.93195444
2025,"สุพรรณบุรี","คน/รถ/สัตว์ตัดหน้ากระชั้นชิด","แจ่มใส",0,0,3,3,14.44174445,100.1343102
2025,"กรุงเทพมหานคร","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,0,0,13.73358917,100.6946956
2025,"สงขลา","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",1,0,0,0,6.636683171,100.3884208
2025,"สุพรรณบุรี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,2,2,14.16571047,100.0883244
2025,"อุตรดิตถ์","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,17.47837273,100.0090089
2025,"ลพบุรี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,0,0,14.8848581,100.6322078
2025,"มุกดาหาร","คน/รถ/สัตว์ตัดหน้ากระชั้นชิด","แจ่มใส",0,1,0,1,16.59449544,104.4279495
2025,"ปทุมธานี","หลับใน","แจ่มใส",0,0,0,0,14.04661702,100.6166324
2025,"ปราจีนบุรี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,1,1,2,13.990614,101.611877
2025,"นครศรีธรรมราช","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,0,0,8.098038435,99.88597602
2025,"ร้อยเอ็ด","เมาสุรา","แจ่มใส",0,0,1,1,15.663787,104.090162
2025,"สระแก้ว","ขับรถย้อนศร","แจ่มใส",1,0,1,1,13.77350111,102.0961913
2025,"ชุมพร","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,1,0,1,10.8568369,99.24350783
2025,"สระแก้ว","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,2,2,13.90985931,102.4774057
2025,"อุดรธานี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,17.31524491,102.6422285
2025,"อยุธยา","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,4,4,14.2764835,100.6812362
2025,"ภูเก็ต","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,7.945695084,98.38353127
2025,"เชียงใหม่","ความประมาท/เร่งรีบ (วิ่งตัดหน้า)","แจ่มใส",1,0,0,0,18.79653528,99.10736024
2025,"นครสวรรค์","มีกองวัสดุ/สิ่งกีดขวาง","แจ่มใส",0,0,0,0,15.32377285,100.4821761
2025,"ตรัง","คน/รถ/สัตว์ตัดหน้ากระชั้นชิด","แจ่มใส",0,0,1,1,7.520080713,99.34793665
2025,"ลพบุรี","คน/รถ/สัตว์ตัดหน้ากระชั้นชิด","แจ่มใส",0,0,4,4,15.07108368,101.1097071
2025,"สุราษฎร์ธานี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,1,0,1,8.950439281,99.24137913
2025,"อยุธยา","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,1,0,1,14.25550817,100.6979316
2025,"สุราษฎร์ธานี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",1,0,0,0,9.449408842,100.0023884
2025,"หนองคาย","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,17.89397145,102.6003413
2025,"ขอนแก่น","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,6,6,16.37195865,102.8089471
2025,"ตาก","หลับใน","แจ่มใส",0,0,0,0,16.81344811,98.97381172
2025,"พะเยา","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",1,0,0,0,19.33181958,100.1394661
2025,"สมุทรปราการ","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,0,0,13.68055944,100.8348209
2025,"เพชรบุรี","มีกองวัสดุ/สิ่งกีดขวาง","แจ่มใส",0,0,1,1,13.12769548,99.87265284
2025,"อยุธยา","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,0,0,14.24882966,100.755056
2025,"สกลนคร","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,17.25572914,104.1906653
2025,"เพชรบุรี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,13.057324,99.905071
2025,"บุรีรัมย์","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,15.16864676,103.3632991
2025,"สุราษฎร์ธานี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",5,1,31,32,9.40380413,99.16713807
2025,"ลำพูน","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,0,0,17.91875348,98.91065776
2025,"ชลบุรี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,12.95610757,100.986318
2025,"อำนาจเจริญ","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",1,0,0,0,15.70814948,104.6430574
2025,"สมุทรสาคร","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",1,0,0,0,13.56326872,100.2953636
2025,"พัทลุง","ไม่คุ้นเคยเส้นทาง/ขับรถไม่ชำนาญ","แจ่มใส",0,2,0,2,7.850762247,99.93763
2025,"มหาสารคาม","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,0,0,16.15735973,103.3670287
2025,"มุกดาหาร","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,1,0,1,16.49627861,104.6685036
2025,"อยุธยา","หลับใน","แจ่มใส",0,0,1,1,14.32986165,100.4170386
2025,"สระบุรี","ใช้โทรศัพท์เคลื่อนที่ขณะขับรถ","แจ่มใส",0,0,0,0,14.56601314,100.904502
2025,"สุพรรณบุรี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,14.5775196,100.1509836
2025,"ชลบุรี","คน/รถ/สัตว์ตัดหน้ากระชั้นชิด","แจ่มใส",0,1,0,1,13.42636357,101.2827471
2025,"นราธิวาส","แซงรถอย่างผิดกฎหมาย","แจ่มใส",0,0,0,0,6.137937292,101.7297225
